text,label
please validate the meeting time and agenda for today.,legit
time-sensitive notice—security check required. confirm right away via secure page within 12 hours. https://account-verify . example . net/update,phish
would you please verify the sync time and agenda for today.,legit
Mailbox  storage  exceeded.  confirm  right  away  to  upgrade  quota  before  48  hour(s)  pass.  tap  the  link:  https://hr-portal  .  example  .  com/confirm,phish
We have completed routine maintenance; please look over the status notes attached.,legit
verification  required!  Unusual  sign-in  detected.  re-authenticate  now  to  restore  access.  Use  this  link:  https://invoice-check.example.net/update #5889 Failure to comply may result in restrictions.,phish
please schedule a short call to discuss the latest audit findings.,legit
time-sensitive: your ACCOUNT Will be Lock UNLESS you validate immediately. verification required. Use THIS url: https://account-v e r i f Y.EXAMPLE.NET/UPDATE,phish
could you CHECK the incident SUMMARY AND reply With your comments by eod?,legit
verification required! Unusual sign-in detected. confirm right away to restore access. tap the portal: https://mail-support.example.org/signin #2113,phish
"Thanks—please, go through the draft and forward any notes when convenient. ref-35713",legit
urgent: Your user id Will Be Suspend unless you verify now. Response required. TAP the url: HTTPS://MAIL-SUPPORT . EXAMPLE . Org/update,phish
Please validate the server patch window and notify the team once completed.,legit
immediate: Your profile will be lock unless you v e r i f y now. attention needed. follow the URL: https://hr-portal . example . com/v e r i f y,phish
"thanks—please, Check THE summary and forward any feedback when convenient.",legit
"Payment issue detected. To avoid suspend, validate immediately your user ID. Use this secure page: https://secure-login.example.com/update Reference your ticket in the portal.",phish
could you book a short discussion to discuss the latest audit findings. ref-68784,legit
important notice—security check required. confirm right away via portal within 12 hours. https://secure-login . example . com/verify ref-26257,phish
Please verify the server patch window and notify the team once completed. ref-49512,legit
Time-sensitive: your profile will BE restrict unless you confirm RIGHT away. verification required. open To open the portal: https://mail-support.example.org/signin,phish
Thanks—would you please check the draft and reply with any feedback when convenient.,legit
HR notice: payroll update failed. verify now your credentials no later than 6 hours from now. open to open the portal: https://hr-portal . example . com/update,phish
would YOU please confirm The call time and agenda for Today.,legit
"payment ISSUE detected. to avoid disable, re-authenticate now Your Account. use this link: https://mail-support.example.org/auth",phish
We have completed routine maintenance; please go through the status notes attached. ref-60872,legit
"Payment issue detected. To avoid lock, confirm right away your user ID. Use this link: https://account-verify . example . net/verify",phish
Could YOU Double-check THE discussion time And Agenda for today.,legit
HR notice: payroll update Failed. confirm right AWAY Your passcode no later than 1 hours from Now. use this link: HTTPS://INVOICE-CHECK . EXAMPLE . net/signin,phish
kindly validate the discussion time and agenda for today.,legit
Mailbox  storage  exceeded.  validate  immediately  to  upgrade  quota  no  later  than  6  hours  from  now.  click  the  URL:  https://secure-login  .  example  .  com/verify,phish
please check the attached summary and send your comments within 24 hours. ref-82649,legit
