text,label
Payroll u  p  d  4 t 3 failed. Re-enter your credentials within 24 hours.,phish
Your request has been processed according to company— policy. Sincerely.,legit
The system update will be deployed after business hours.,legit
Please approve the purchase request in the internal system.,legit
C.l.i.c.k here to prevent permanent account closure.,phish
"GOod day, PaYrOlL uPdate— FailEd. re-enteR yoUr crEdentiALS Within 24 hoUrs. Thanks.",phish
"Greetings, The security team will review the incident file today. Regards.",legit
"Dear team, Payroll u.p.d.a.t.e failed. Re-enter your credentials* within 24 hours. Thank you.",phish
Your request has been processed according to company policy.,legit
"DeAr TeAm, SaLAry ReFResH faiLEd. Re-eNTeR Your· CrEdentIalS wiTHIn 24 hours.",phish
"goOd dAY, YOUr mAilBox haS eXCeEdeD ITs LImIT. LOg in To upGraDe storAge. THANks.",phish
urGent Action rEquired! tap the... link TO confirm youR banKing deTails.,phish
The security team will review the incident report today.,legit
The backup process finished without any errors. Thanks.,legit
"Hello, The security team will check the incident summary today. Regards.",legit
"Hello, time-sensitive action required! follow the link· to confirm your banking details. Thanks.",phish
The baCKup procEss  fiNiSHeD wItHout Any erroRs.,legit
"hi, Security alERT:  UnusUAl loGIN detEcTed. VerifY yoUr aCc0unt nOw. ReGarDs.",phish
Can we schedule a meeting to discuss the audit findings?,legit
"Dear team, Can we schedule a session to discuss the audit findings? Best regards.",legit
The backup process finished without any errors.,legit
Your request has been processed according to company policy.,legit
"HelLO,... Your reqUest haS beEN prOcesSed accordInG to company poLICy. Regards.",legit
"Dear team, Thank you for your cooperation on this matter. Thanks.",legit
"Dear team, Thank you for your cooperation on this matter. Thank you.",legit
"hi, YoUR mailbox~ hAs excEeDed itS limIt. Log in to uPGRAde stOrage. reGarDs.",phish
"hello,  ImMEdiate rEsPoNsE RequIred to  avOid seRvice tERminAtion. SincERely.",phish
ImMediate ACtioN~ reqUired! viSiT tHe lInk tO ConFIrM YOuR BAnkINg dEtailS.,phish
"Hi, Security alert: unusual l o g! i n detected. Verify your a c c o u n t now. Regards.",phish
conFirm yoUr identity to restOrE fulL pROfiLe accesS.,phish
fAilure~ To aCT NoW will Result in account suspension.,phish
"Hello, The server maintenance has been completed successfully. Sincerely.",legit
"send your feedback by within 24 hours. Best regards., Good day, would you review the provided file",legit
The backup process finished without! any errors.,legit
"Hello, Failure to act now will result in— account suspension. Best regards.",phish
"Hello, The Security team... wIll review tHe incident report todAy. regArds.",legit
"HElLo, yOU have Won a prIze. provide youR perSonal INFOrmation to claiM iT Now. sinCEreLy.",phish
"DEar teAM, UrGeNt action requiREd! CLick the link to cOnfirm your baNkiNg detailS. thank you.",phish
FailuRe tO act nOw will  ResuLT in acCOunt susPenSion.,phish
Can we schedule a call to discuss the audit findings?,legit
Payroll update failed. Re-enter your credentials within 24 hours.,phish
KinDLy COnfirM tHe meeTiNG aGEndA anD particiPanTs.,legit
please approve the purchase request in the internal system. Regards.,legit
"DeAr Team, YoU  hAve woN a  prize. PrOvide yoUR perSOnal InformatiOn  to cLAim It noW. RegardS.",phish
"good daY, failUre to ACt now Will Result iN aCcEss SuspEnsiON. BesT regaRdS.~",phish
"Hi, your mAilbox has ExceedEd ITs limit. Log IN tO* upgrade storAGe.",phish
"Good day, Thank you for your cooperation on this matter. Regards.",legit
"Dear teAm, c.l.i.c.k  here To prEvenT permanEnt UsER a c c  o u n t ClOSure. Thanks.",phish
"Dear TEam, You hAvE wOn a pRize. PRovide YOUR pErsonaL inforMation TO cLaim iT now. thanks.",phish
"Good day, The backup process finished without any errors. Regards.",legit
"Hi, The server maintenance has been completed successfully. Regards.",legit
"HelLo, YoU hAve won A prize. PrOVIde  yOuR  PErsOnAL infORmatIOn tO cLAim iT now. BesT rEgards.",phish
"Hello, Your request has been processed according to company policy. Sincerely.",legit
"Hi, Confirm your identity! to restore full account access.",phish
"Hi, Please check the enclosed report... and send your feedback by tomorrow. Sincerely.",legit
You have won a prize. Provide your personal information to claim it now.,phish
ImMedIaTE resPoNSE rEqUirED tO avoid sErVicE teRmInAtiOn. rEgards.,phish
"HeLlo, you haVe wOn a prIZE. ProviDe your PErSONAl infOrmatIOn to clAim it now. Thanks.",phish
"Dear team, Confirm your! identity to restore full account access. Thanks.",phish
Your request has been processed according to company policy. Best regards.,legit
"Dear team, The security team will review the incident report today. Thank you.",legit
"send your feedback by within 24 hours. Best regards., Hello, please inspect the attached report",legit
